"","document.ID.1","document.ID.2","experiment.ID","processing.time","team.name"
"167",0,4,1,1713,"Girls"
"168",0,4,2,1731,"Girls"
"169",0,4,3,1721,"Girls"
"170",0,4,4,1705,"Girls"
"171",0,5,0,1599,"Girls"
"172",0,5,1,1041,"Girls"
"173",0,5,2,1400,"Girls"
"174",0,5,3,1637,"Girls"
"175",0,5,4,1038,"Girls"
"176",1,2,0,1269,"Girls"
"177",1,2,1,866,"Girls"
"178",1,2,2,1274,"Girls"
"179",1,2,3,895,"Girls"
"180",1,2,4,1285,"Girls"
"181",1,3,0,775,"Girls"
"182",1,3,1,1202,"Girls"
"183",1,3,2,766,"Girls"
"184",1,3,3,781,"Girls"
"185",1,3,4,1158,"Girls"
"186",1,4,0,769,"Girls"
"187",1,4,1,1191,"Girls"
"188",1,4,2,808,"Girls"
"189",1,4,3,786,"Girls"
"190",1,4,4,1128,"Girls"
"191",1,5,0,698,"Girls"
"192",1,5,1,696,"Girls"
"193",1,5,2,1039,"Girls"
"194",1,5,3,705,"Girls"
"195",1,5,4,694,"Girls"
"196",2,3,0,1030,"Girls"
"197",2,3,1,717,"Girls"
"198",2,3,2,725,"Girls"
"199",2,3,3,999,"Girls"
"200",2,3,4,701,"Girls"
"201",2,4,0,702,"Girls"
"202",2,4,1,1023,"Girls"
"203",2,4,2,711,"Girls"
"204",2,4,3,722,"Girls"
"205",2,4,4,993,"Girls"
"206",2,5,0,625,"Girls"
"207",2,5,1,601,"Girls"
"208",2,5,2,922,"Girls"
"209",2,5,3,655,"Girls"
"210",2,5,4,616,"Girls"
"211",3,4,0,930,"Girls"
"212",3,4,1,619,"Girls"
"213",3,4,2,607,"Girls"
"214",3,4,3,970,"Girls"
"215",3,4,4,611,"Girls"
"216",3,5,0,531,"Girls"
"217",3,5,1,560,"Girls"
"218",3,5,2,775,"Girls"
"219",3,5,3,551,"Girls"
"220",3,5,4,554,"Girls"
"221",4,5,0,570,"Girls"
"222",4,5,1,814,"Girls"
"223",4,5,2,530,"Girls"
"224",4,5,3,527,"Girls"
"225",4,5,4,543,"Girls"
"226",1,2,0,2082,"NullPointerException"
"227",1,3,0,1075,"NullPointerException"
"228",1,4,0,1068,"NullPointerException"
"229",1,5,0,980,"NullPointerException"
"230",1,6,0,985,"NullPointerException"
"231",2,3,0,570,"NullPointerException"
"232",2,4,0,537,"NullPointerException"
"233",2,5,0,576,"NullPointerException"
"234",2,6,0,532,"NullPointerException"
"235",3,4,0,468,"NullPointerException"
"236",3,5,0,431,"NullPointerException"
"237",3,6,0,440,"NullPointerException"
"238",4,5,0,379,"NullPointerException"
"239",4,6,0,340,"NullPointerException"
"240",5,6,0,338,"NullPointerException"
"241",1,2,1,997,"NullPointerException"
"242",1,3,1,922,"NullPointerException"
"243",1,4,1,959,"NullPointerException"
"244",1,5,1,987,"NullPointerException"
"245",1,6,1,919,"NullPointerException"
"246",2,3,1,563,"NullPointerException"
"247",2,4,1,544,"NullPointerException"
"248",2,5,1,548,"NullPointerException"
"249",2,6,1,590,"NullPointerException"
"250",3,4,1,500,"NullPointerException"
"251",3,5,1,468,"NullPointerException"
"252",3,6,1,448,"NullPointerException"
"253",4,5,1,362,"NullPointerException"
"254",4,6,1,354,"NullPointerException"
"255",5,6,1,356,"NullPointerException"
"256",1,2,2,939,"NullPointerException"
"257",1,3,2,929,"NullPointerException"
"258",1,4,2,973,"NullPointerException"
"259",1,5,2,936,"NullPointerException"
"260",1,6,2,941,"NullPointerException"
"261",2,3,2,586,"NullPointerException"
"262",2,4,2,569,"NullPointerException"
"263",2,5,2,571,"NullPointerException"
"264",2,6,2,582,"NullPointerException"
"265",3,4,2,461,"NullPointerException"
"266",3,5,2,436,"NullPointerException"
"267",3,6,2,461,"NullPointerException"
"268",4,5,2,362,"NullPointerException"
"269",4,6,2,354,"NullPointerException"
"270",5,6,2,346,"NullPointerException"
"271",1,2,3,934,"NullPointerException"
"272",1,3,3,985,"NullPointerException"
"273",1,4,3,980,"NullPointerException"
"274",1,5,3,948,"NullPointerException"
"275",1,6,3,866,"NullPointerException"
"276",2,3,3,575,"NullPointerException"
"277",2,4,3,592,"NullPointerException"
"278",2,5,3,563,"NullPointerException"
"279",2,6,3,531,"NullPointerException"
"280",3,4,3,478,"NullPointerException"
"281",3,5,3,466,"NullPointerException"
"282",3,6,3,448,"NullPointerException"
"283",4,5,3,359,"NullPointerException"
"284",4,6,3,351,"NullPointerException"
"285",5,6,3,354,"NullPointerException"
"286",1,2,4,1469,"NullPointerException"
"287",1,3,4,982,"NullPointerException"
"288",1,4,4,933,"NullPointerException"
"289",1,5,4,915,"NullPointerException"
"290",1,6,4,945,"NullPointerException"
"291",2,3,4,565,"NullPointerException"
"292",2,4,4,543,"NullPointerException"
"293",2,5,4,557,"NullPointerException"
"294",2,6,4,607,"NullPointerException"
"295",3,4,4,469,"NullPointerException"
"296",3,5,4,465,"NullPointerException"
"297",3,6,4,506,"NullPointerException"
"298",4,5,4,349,"NullPointerException"
"299",4,6,4,358,"NullPointerException"
"300",5,6,4,356,"NullPointerException"
"301",1,2,1,1100,"Required"
"302",1,2,2,607,"Required"
"303",1,2,3,519,"Required"
"304",1,2,4,233,"Required"
"305",1,2,5,409,"Required"
"306",1,3,1,256,"Required"
"307",1,3,2,259,"Required"
"308",1,3,3,218,"Required"
"309",1,3,4,271,"Required"
"310",1,3,5,341,"Required"
"311",1,4,1,421,"Required"
"312",1,4,2,413,"Required"
"313",1,4,3,600,"Required"
"314",1,4,4,232,"Required"
"315",1,4,5,243,"Required"
"316",1,5,1,214,"Required"
"317",1,5,2,223,"Required"
